t,ID_Tag,ID_Anchor,range
0,1,10,17.5075176202028
0.1,1,10,17.3688303810891
0.2,1,10,17.1980763076159
0.3,1,10,17.0399122855061
0.4,1,10,16.9745723660336
0.5,1,10,16.9771149945847
0.6,1,10,16.7491845011548
0.7,1,10,16.6503948007619
0.8,1,10,16.1589115948308
0.9,1,10,15.9561552182187
1,1,10,15.4995145584559
1.1,1,10,15.0786464104125
1.2,1,10,14.739573756049
1.3,1,10,14.0681850426422
1.4,1,10,13.7150982775118
1.5,1,10,12.9854936278474
1.6,1,10,12.7200460535307
1.7,1,10,12.3349601470732
1.8,1,10,11.7640470234381
1.9,1,10,11.594983252967
2,1,10,11.1721962074433
2.1,1,10,11.0502613395314
2.2,1,10,11.1510395234305
2.3,1,10,11.2949256641531
2.4,1,10,11.3717287101792
2.5,1,10,11.3537154633924
2.6,1,10,11.7247264660892
2.7,1,10,11.9881290837974
2.8,1,10,12.060920481685
2.9,1,10,11.9588830562106
3,1,10,12.193439804473
3.1,1,10,12.2931349716992
3.2,1,10,12.201886926271
3.3,1,10,12.2926891212059
3.4,1,10,12.5274490698332
3.5,1,10,13.1596092817669
3.6,1,10,13.5266975125917
3.7,1,10,14.1544823941317
3.8,1,10,14.9178358260652
3.9,1,10,15.6013757374632
4,1,10,15.9717387848225
4.1,1,10,16.6826734713502
4.2,1,10,16.938103453231
4.3,1,10,17.4052405837519
4.4,1,10,17.8497508661295
4.5,1,10,18.2540560871156
4.6,1,10,18.7323200776262
4.7,1,10,18.9412819209342
4.8,1,10,19.4393220531668
4.9,1,10,19.652916576408
5,1,10,19.6777979911719
5.1,1,10,19.4336125675144
5.2,1,10,19.387741222829
5.3,1,10,18.8847485613637
5.4,1,10,18.3906968796765
5.5,1,10,18.0778115757859
5.6,1,10,18.111470162885
5.7,1,10,18.4211499894237
5.8,1,10,19.0748140950642
5.9,1,10,20.1464561838313
6,1,10,20.8752509904207
6.1,1,10,21.2997393535456
6.2,1,10,21.6121812760645
6.3,1,10,21.6113292721886
6.4,1,10,21.3357552450902
6.5,1,10,20.9830177278669
6.6,1,10,20.5869764969355
6.7,1,10,20.3192089062983
6.8,1,10,20.0511795808296
6.9,1,10,19.9224954822808
7,1,10,19.3323508271391
7.1,1,10,19.3432541243064
7.2,1,10,18.8946714460084
7.3,1,10,18.9985235748066
7.4,1,10,18.6562678697012
7.5,1,10,18.5608861405494
7.6,1,10,18.4018171765506
7.7,1,10,17.9933896288398
7.8,1,10,17.7497751058155
7.9,1,10,17.4596775606188
8,1,10,17.1464576457298
8.1,1,10,16.581020959061
8.2,1,10,16.0536467131704
8.3,1,10,15.5002085491213
8.4,1,10,15.0748792095528
8.5,1,10,14.6868004648132
8.6,1,10,14.5806196558602
8.7,1,10,14.6661773737357
8.8,1,10,14.8972870080603
8.9,1,10,15.2740682841979
9,1,10,15.6022790762897
9.1,1,10,16.0940513236682
9.2,1,10,16.0716419828687
9.3,1,10,16.4195929292639
9.4,1,10,16.5144446186059
9.5,1,10,16.5303638477379
9.6,1,10,16.9203479521695
9.7,1,10,17.1673201343052
9.8,1,10,17.3211085073404
9.9,1,10,17.9452496663594
0,2,10,19.0066181026107
0.1,2,10,18.4692398470595
0.2,2,10,18.1425902864533
0.3,2,10,17.991291233422
0.4,2,10,17.811209553432
0.5,2,10,17.4081963471808
0.6,2,10,17.2807370992277
0.7,2,10,17.0029711110704
0.8,2,10,16.6465368459196
0.9,2,10,16.4064135969702
1,2,10,15.8385065070819
1.1,2,10,15.3373227871058
1.2,2,10,15.0608123325203
1.3,2,10,14.5935745570094
1.4,2,10,14.0382884913215
1.5,2,10,13.4799936616061
1.6,2,10,12.9920959339744
1.7,2,10,12.5612346429799
1.8,2,10,12.1415694207483
1.9,2,10,11.6092869474345
2,2,10,11.4475918121384
2.1,2,10,11.2415709676923
2.2,2,10,11.3146552870105
2.3,2,10,11.757997332275
2.4,2,10,12.2547865492438
2.5,2,10,12.670196783696
2.6,2,10,13.1195256463759
2.7,2,10,13.5659500255345
2.8,2,10,13.8334082692719
2.9,2,10,14.1222902852063
3,2,10,13.9531860435587
3.1,2,10,14.381572921981
3.2,2,10,14.3833039272953
3.3,2,10,14.697176146186
3.4,2,10,15.0340967809789
3.5,2,10,15.4967147199811
3.6,2,10,15.6322734357933
3.7,2,10,15.9248584225867
3.8,2,10,16.2135386247522
3.9,2,10,16.2854241078992
4,2,10,16.5206584219872
4.1,2,10,17.0032769740695
4.2,2,10,17.0650920097174
4.3,2,10,17.7943196542023
4.4,2,10,18.2601924638564
4.5,2,10,18.5883014732819
4.6,2,10,19.1994842154775
4.7,2,10,19.851158922488
4.8,2,10,20.4128325431957
4.9,2,10,20.6874589906484
5,2,10,20.9767495736082
5.1,2,10,21.2193172360675
5.2,2,10,20.8527190463636
5.3,2,10,20.6883916461192
5.4,2,10,20.240068253051
5.5,2,10,19.8714666995137
5.6,2,10,20.0106248035367
5.7,2,10,20.4381067939624
5.8,2,10,21.1092772281328
5.9,2,10,21.7932445235797
6,2,10,22.486195393671
6.1,2,10,22.6846912387822
6.2,2,10,22.9677298662654
6.3,2,10,22.7435545410104
6.4,2,10,22.489284708043
6.5,2,10,22.1858686626206
6.6,2,10,21.4953001179282
6.7,2,10,21.2031438036811
6.8,2,10,20.6104800022329
6.9,2,10,19.9855132935255
7,2,10,19.7911479395599
7.1,2,10,19.589142815688
7.2,2,10,18.8380462216183
7.3,2,10,18.9402377049255
7.4,2,10,18.696255873427
7.5,2,10,18.5547332077232
7.6,2,10,18.2780619024488
7.7,2,10,18.4329934806486
7.8,2,10,18.4022681510099
7.9,2,10,18.2847550715866
8,2,10,17.8586704552918
8.1,2,10,17.3516964870235
8.2,2,10,16.7170811601255
8.3,2,10,16.3326246868736
8.4,2,10,15.6862621260215
8.5,2,10,15.1751320095614
8.6,2,10,15.25576058882
8.7,2,10,15.7650396990495
8.8,2,10,16.1496243479521
8.9,2,10,16.9052632797183
